user,currentPoints,eventKey,eventPoints,finalPoint
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,PUNISHMENT_TRIGGER_PENALTY,-15,-194
Nomos,-179,STREAK_BREAK_PENALTY,-100,-279
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,STREAK_BREAK_PENALTY,-100,-279
Nomos,-179,EXTEND_STREAK_CREDIT,10,-169
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,URGE_RESISTED_CREDIT,50,-129
Nomos,-179,URGE_RESISTED_CREDIT,50,-129
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,RITUAL_COMPLETE_CREDIT,10,-169
Nomos,-179,RITUAL_MISS_PENALTY,-10,-189
Nomos,-179,URGE_LOGGED_CREDIT,10,-169
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,PUNISHMENT_TRIGGER_PENALTY,-15,-194
Nomos,-179,RITUAL_MISS_PENALTY,-10,-189
Nomos,-179,URGE_LOGGED_CREDIT,10,-169
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,EXTEND_STREAK_CREDIT,10,-169
Nomos,-179,RITUAL_COMPLETE_CREDIT,10,-169
Nomos,-179,RITUAL_MISS_PENALTY,-10,-189
Nomos,-179,URGE_RESISTED_CREDIT,50,-129
Nomos,-179,MOOD_LOGGED_CREDIT,5,-174
Nomos,-179,RITUAL_MISS_PENALTY,-10,-189
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,BLOCK_MISS_PENALTY,-40,-219
Nomos,-179,BLOCK_MISS_PENALTY,-40,-219
Nomos,-179,TIMER_RESET_PENALTY,-60,-239
Nomos,-179,URGE_FAILURE_PENALTY,-100,-279
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,MOOD_LOGGED_CREDIT,5,-174
Nomos,-179,NEW_STREAK_CREDIT,50,-129
Nomos,-179,DIARY_WRITING_CREDIT,5,-174
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,NEW_STREAK_CREDIT,50,-129
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,STREAK_BREAK_PENALTY,-100,-279
Nomos,-179,URGE_FAILURE_PENALTY,-100,-279
Nomos,-179,URGE_LOGGED_CREDIT,10,-169
Nomos,-179,EXTEND_STREAK_CREDIT,10,-169
Nomos,-179,DIARY_WRITING_CREDIT,5,-174
Nomos,-179,RITUAL_COMPLETE_CREDIT,10,-169
Nomos,-179,VIOLATION_PENALTY,-50,-229
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,RITUAL_COMPLETE_CREDIT,10,-169
Nomos,-179,NEW_STREAK_CREDIT,50,-129
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,MOOD_LOGGED_CREDIT,5,-174
Nomos,-179,NEW_STREAK_CREDIT,50,-129
Nomos,-179,URGE_RESISTED_CREDIT,50,-129
Nomos,-179,TIMER_RESET_PENALTY,-60,-239
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,BLOCK_MISS_PENALTY,-40,-219
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,URGE_FAILURE_PENALTY,-100,-279
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,EXTEND_STREAK_CREDIT,10,-169
Nomos,-179,RITUAL_MISS_PENALTY,-10,-189
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,URGE_LOGGED_CREDIT,10,-169
Nomos,-179,RITUAL_COMPLETE_CREDIT,10,-169
Nomos,-179,DIARY_WRITING_CREDIT,5,-174
Nomos,-179,STREAK_BREAK_PENALTY,-100,-279
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,EXTEND_STREAK_CREDIT,10,-169
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,URGE_LOGGED_CREDIT,10,-169
Nomos,-179,VIOLATION_PENALTY,-50,-229
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,STREAK_BREAK_PENALTY,-100,-279
Nomos,-179,RITUAL_COMPLETE_CREDIT,10,-169
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,STREAK_BREAK_PENALTY,-100,-279
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,MOOD_LOGGED_CREDIT,5,-174
Nomos,-179,TIMER_RESET_PENALTY,-60,-239
Nomos,-179,TIMER_RESET_PENALTY,-60,-239
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,TIMER_RESET_PENALTY,-60,-239
Nomos,-179,STREAK_BREAK_PENALTY,-100,-279
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,BLOCK_MISS_PENALTY,-40,-219
Nomos,-179,RITUAL_COMPLETE_CREDIT,10,-169
Nomos,-179,TIMER_RESET_PENALTY,-60,-239
Nomos,-179,MOOD_IMPROVEMENT_CREDIT,5,-174
Nomos,-179,ALL_DAILY_COMPLETE_CREDIT,100,-79
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,RITUAL_MISS_PENALTY,-10,-189
Nomos,-179,MOOD_LOGGED_CREDIT,5,-174
Nomos,-179,EXTEND_STREAK_CREDIT,10,-169
Nomos,-179,URGE_RESISTED_CREDIT,50,-129
Nomos,-179,URGE_LOGGED_CREDIT,10,-169
Nomos,-179,PUNISHMENT_TRIGGER_PENALTY,-15,-194
Nomos,-179,TIMEBLOCK_COMPLETE_CREDIT,20,-159
Nomos,-179,URGE_LOGGED_CREDIT,10,-169
Nomos,-179,TIMER_RESET_PENALTY,-60,-239
Nomos,-179,TIMER_RESET_PENALTY,-60,-239